Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
Freaky Friday,110222438,26000000,8/6/2003,PG,97,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Mark Waters,88,6.5
Serenity,25514517,39000000,9/30/2005,PG-13,119,Universal,Based on TV,Action,Science Fiction,Joss Whedon,81,8
Friday Night Lights,61255921,30000000,10/8/2004,PG-13,117,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81,7.2
Fireproof,33451479,500000,9/26/2008,PG,122,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40,5.6
Frost/Nixon,18622031,29000000,12/5/2008,R,122,Universal,Based on Play,Drama,Dramatization,Ron Howard,92,7.9
For Your Consideration,5549923,12000000,11/17/2006,PG-13,86,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2
Gangs of New York,77730500,97000000,12/20/2002,R,168,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4
Georgia Rule,18882880,20000000,5/11/2007,R,111,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8
The Good German,1308696,32000000,12/15/2006,R,104,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1
Gridiron Gang,38432823,30000000,9/15/2006,PG-13,126,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41,6.8
Ghost Rider,115802596,120000000,2/16/2007,PG-13,110,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2
Ghost Town,13252641,20000000,9/19/2008,PG-13,102,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85,4.7
Gosford Park,41300105,18000000,12/26/2001,R,137,USA Films,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3
The Game Plan,90648202,22000000,9/22/2007,PG,110,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Andy Fickman,27,6.3
Garden State,26782316,2500000,7/28/2004,R,109,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Zach Braff,86,7.9
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,30000000,10/5/2005,G,85,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,95,7.9
Hairspray,118823091,75000000,7/20/2007,PG,117,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2
The Happening,64506874,60000000,6/13/2008,R,89,20th Century Fox,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,18,5.2
The House Bunny,48237389,25000000,8/22/2008,PG-13,98,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Fred Wolf,39,5.5
Hidalgo,67286731,78000000,3/5/2004,PG-13,136,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Joe Johnston,46,6.6
Head of State,37788228,35200000,3/28/2003,PG-13,95,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1
Heist,23483357,35000000,11/9/2001,R,109,New Line,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2
Hellboy,59623958,60000000,4/2/2004,PG-13,122,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,81,6.8
Raising Helen,37485528,50000000,5/28/2004,PG-13,119,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Garry Marshall,22,5.7
High Crimes,41543207,42000000,4/5/2002,PG-13,115,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1
Hitch,177784257,55000000,2/11/2005,PG-13,113,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Andy Tennant,69,5.7
